trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",25,0,-185.65977992520263,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.9801}",25,0,-197.57227354304274,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.970299}",25,3,-118.89806128620053,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.96059601}",25,0,-79.04882491875898,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",25,0,-154.7378070371802,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.941480149401}",20,0,-78.84020822118173,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",25,0,-48.875828382281824,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9227446944279201}",25,0,-112.0195743921483,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9135172474836408}",20,0,-72.11136214134694,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9043820750088044}",25,0,-98.55037398655112,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587164}",20,0,-170.5785918171159,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161292}",25,0,-72.12629043892592,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",30,19,-13.881116942613044,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.8687458127689782}",25,0,-138.2912446450125,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.8600583546412884}",25,0,-209.98209363904766,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948755}",25,0,-125.40319046125302,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839268}",35,0,-97.09566615371465,"{0: 23, 1: 4, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.8345137614500875}",20,15,7.6706635752992485,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.8261686238355866}",20,0,-55.138111876941025,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.8179069375972308}",25,0,-54.41544067616821,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
