trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.21104620663664,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.82814649360398,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,12,-3.573141809011304,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,12,-80.27990544447178,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.58113212322769,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.98605863849575,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.7323560612043,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.93605820899438,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,11,-30.377836375127856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.3638351373429,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.27597068013333,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.82255043119893,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.93186950617192,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.72540560950827,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.50570812565262,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.26588318052276,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.66350174205013,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.66150411521032,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.57080609719958,"{0: 9, 1: 5, 2: 2, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.50163304650317,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-71.40005568644196,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.8512813679531,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.5386981296493,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,13,-71.39609116330627,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.9274768265744,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.7316790365127,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.0308211788905,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.84982536553468,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-279.48278442440983,"{0: 17, 1: 1, 2: 11, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.17080621357218,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
